 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     523 0.783E-05 0.114E-04 0.606E-05
     524 0.822E-05 0.129E-04 0.918E-05
     525 0.900E-05 0.167E-04 0.747E-05
     526 0.897E-05 0.167E-04 0.637E-05
     527 0.996E-05 0.149E-04 0.851E-05
     528 0.103E-04 0.149E-04 0.701E-05
     529 0.868E-05 0.115E-04 0.701E-05
     530 0.820E-05 0.125E-04 0.701E-05
     531 0.820E-05 0.149E-04 0.765E-05
     532 0.820E-05 0.149E-04 0.738E-05
     533 0.699E-05 0.141E-04 0.931E-05
     534 0.699E-05 0.141E-04 0.519E-05
     535 0.812E-05 0.151E-04 0.738E-05
     536 0.812E-05 0.151E-04 0.738E-05
     537 0.777E-05 0.153E-04 0.848E-05
     538 0.755E-05 0.153E-04 0.685E-05
     539 0.744E-05 0.193E-04 0.637E-05
     540 0.748E-05 0.194E-04 0.605E-05
     541 0.844E-05 0.120E-04 0.939E-05
     542 0.844E-05 0.120E-04 0.814E-05
     543 0.752E-05 0.132E-04 0.642E-05
     544 0.712E-05 0.132E-04 0.541E-05
     545 0.101E-04 0.174E-04 0.614E-05
     546 0.100E-04 0.175E-04 0.491E-05
     547 0.754E-05 0.170E-04 0.791E-05
     548 0.739E-05 0.170E-04 0.650E-05
     549 0.775E-05 0.149E-04 0.643E-05
     550 0.775E-05 0.150E-04 0.541E-05
     551 0.160E-04 0.189E-04 0.734E-05
     552 0.157E-04 0.190E-04 0.721E-05
     553 0.771E-05 0.150E-04 0.767E-05
     554 0.771E-05 0.150E-04 0.751E-05
     555 0.774E-05 0.116E-04 0.102E-04
     556 0.758E-05 0.116E-04 0.815E-05
     557 0.731E-05 0.187E-04 0.572E-05
     558 0.736E-05 0.186E-04 0.544E-05
     559 0.128E-04 0.149E-04 0.741E-05
     560 0.128E-04 0.149E-04 0.701E-05
     561 0.100E-04 0.173E-04 0.791E-05
     562 0.100E-04 0.174E-04 0.712E-05
     563 0.858E-05 0.185E-04 0.732E-05
